OrderID,Date,ProductID,CustomerID,EmployeeID,Quantity,UnitPrice
1,2024-02-22 00:00:00,27,80,27,2,863
2,2023-08-30 00:00:00,18,17,45,6,232
3,2024-10-22 00:00:00,24,51,44,6,567
4,2024-04-10 00:00:00,23,32,26,5,204
5,2023-12-08 00:00:00,6,109,42,10,31
6,2024-07-21 00:00:00,16,65,37,4,80
7,2024-09-02 00:00:00,14,111,15,6,802
8,2023-06-28 00:00:00,1,142,10,3,563
9,2023-09-01 00:00:00,8,14,9,1,376
10,2024-03-07 00:00:00,38,166,2,3,281
11,2024-01-06 00:00:00,34,59,48,10,497
12,2023-02-14 00:00:00,33,56,29,9,236
13,2023-03-04 00:00:00,47,267,20,8,668
14,2024-03-30 00:00:00,31,206,28,2,512
15,2023-10-09 00:00:00,5,42,21,10,161
16,2024-06-27 00:00:00,40,300,36,6,400
17,2024-12-19 00:00:00,19,233,33,10,450
18,2023-08-22 00:00:00,8,283,47,4,450
19,2023-11-17 00:00:00,27,174,30,7,435
20,2024-12-04 00:00:00,28,161,43,5,393
21,2024-01-17 00:00:00,31,35,6,55,105
22,2023-12-04 00:00:00,9,285,4,10,989
23,2024-03-09 00:00:00,43,63,27,6,904
24,2024-08-14 00:00:00,47,27,19,10,329
25,2023-12-25 00:00:00,33,109,10,8,239
26,2024-03-15 00:00:00,36,189,8,5,597
27,2024-12-11 00:00:00,36,286,2,10,961
28,2023-12-14 00:00:00,18,15,12,5,729
29,2023-03-13 00:00:00,23,4,12,3,589
30,2024-04-09 00:00:00,10,16,6,9,230
31,2024-08-04 00:00:00,22,81,24,5,748
32,2023-02-20 00:00:00,39,44,4,3,171
33,2024-09-13 00:00:00,44,42,18,8,687
34,2023-12-20 00:00:00,29,213,18,4,783
35,2023-11-12 00:00:00,28,57,19,10,508
36,2023-11-05 00:00:00,3,113,26,10,66
37,2023-01-08 00:00:00,14,71,49,5,306
38,2023-08-24 00:00:00,32,221,12,3,399
39,2023-02-13 00:00:00,33,287,43,6,83
40,2024-03-15 00:00:00,28,10,30,2,892
41,2023-01-22 00:00:00,37,208,46,7,306
42,2024-01-06 00:00:00,21,88,40,8,861
43,2024-06-20 00:00:00,6,224,7,4,456
44,2023-06-22 00:00:00,6,203,20,6,236
45,2023-12-24 00:00:00,5,262,41,2,553
46,2023-06-27 00:00:00,23,76,16,2,159
47,2024-10-05 00:00:00,39,79,49,2,191
48,2024-11-28 00:00:00,32,238,49,10,788
49,2024-04-25 00:00:00,37,166,41,6,164
50,2023-03-17 00:00:00,29,156,18,10,67
51,2023-10-21 00:00:00,20,237,29,1,68
52,2024-08-17 00:00:00,5,47,40,10,529
53,2024-09-11 00:00:00,36,22,29,10,677
54,2023-12-18 00:00:00,31,257,10,1,471
55,2024-03-24 00:00:00,46,44,33,3,50
56,2023-10-17 00:00:00,29,269,34,10,172
57,2024-10-08 00:00:00,25,210,50,6,705
58,2024-01-31 00:00:00,42,172,5,12,106
59,2023-03-25 00:00:00,19,130,47,10,904
60,2024-11-09 00:00:00,38,73,23,5,1000
61,2024-10-20 00:00:00,26,67,39,2,327
62,2024-03-09 00:00:00,22,66,43,9,105
63,2023-08-08 00:00:00,33,186,2,6,326
64,2023-10-30 00:00:00,22,249,13,4,150
65,2024-06-23 00:00:00,7,260,50,9,865
66,2023-06-07 00:00:00,3,173,50,10,144
67,2024-03-24 00:00:00,11,93,45,10,838
68,2024-04-04 00:00:00,3,211,24,4,464
69,2024-04-25 00:00:00,15,274,16,5,998
70,2023-10-16 00:00:00,13,189,44,10,461
71,2023-07-24 00:00:00,50,196,33,9,438
72,2024-01-16 00:00:00,39,71,17,3,666
73,2023-03-27 00:00:00,36,53,46,9,881
74,2024-03-23 00:00:00,49,83,18,8,937
75,2023-02-24 00:00:00,6,114,29,6,962
76,2024-01-19 00:00:00,26,258,24,12,405
77,2023-12-10 00:00:00,15,15,21,2,869
78,2024-12-13 00:00:00,10,71,3,5,949
79,2023-01-20 00:00:00,9,241,29,10,15
80,2024-06-24 00:00:00,17,111,10,9,972
81,2023-02-18 00:00:00,28,57,50,5,253
82,2024-05-26 00:00:00,16,215,41,10,478
83,2023-05-28 00:00:00,39,275,2,9,598
84,2024-03-02 00:00:00,19,220,1,10,371
85,2024-07-11 00:00:00,12,44,34,6,79
86,2023-02-14 00:00:00,33,260,36,1,409
87,2023-03-11 00:00:00,41,199,24,5,775
88,2023-12-07 00:00:00,23,124,47,2,800
89,2023-06-29 00:00:00,9,23,23,9,356
90,2023-05-19 00:00:00,50,238,45,8,656
91,2023-07-24 00:00:00,5,235,3,5,216
92,2024-07-10 00:00:00,3,162,20,9,417
93,2023-02-18 00:00:00,31,130,3,4,302
94,2024-02-14 00:00:00,42,170,18,22,828
95,2024-05-24 00:00:00,48,226,25,6,201
96,2024-03-16 00:00:00,24,266,18,2,754
97,2023-12-02 00:00:00,39,93,35,5,338
98,2023-06-20 00:00:00,43,152,20,8,627
99,2023-12-28 00:00:00,45,228,23,8,53
100,2024-02-20 00:00:00,40,223,18,44,86
101,2024-09-14 00:00:00,24,263,48,3,985
102,2024-10-22 00:00:00,44,225,3,3,78
103,2024-11-26 00:00:00,24,186,25,10,43
104,2023-05-21 00:00:00,29,190,24,8,791
105,2023-04-27 00:00:00,34,188,26,6,675
106,2023-05-01 00:00:00,2,96,32,9,406
107,2023-10-20 00:00:00,17,134,46,8,229
108,2024-04-07 00:00:00,45,252,13,2,148
109,2023-03-08 00:00:00,12,228,6,6,693
110,2024-12-27 00:00:00,36,278,19,5,881
111,2023-07-25 00:00:00,45,90,24,9,239
112,2024-01-13 00:00:00,9,122,32,13,379
113,2023-11-13 00:00:00,30,283,9,10,915
114,2024-08-11 00:00:00,26,246,34,7,797
115,2024-06-13 00:00:00,5,65,21,2,470
116,2023-05-13 00:00:00,23,66,50,9,665
117,2023-06-18 00:00:00,28,258,4,2,540
118,2024-06-15 00:00:00,11,166,46,4,364
119,2023-10-09 00:00:00,19,41,17,4,660
120,2023-06-22 00:00:00,9,156,40,9,105
121,2024-09-11 00:00:00,38,298,10,3,684
122,2024-10-18 00:00:00,22,289,3,1,93
123,2024-09-24 00:00:00,50,296,17,4,795
124,2023-11-06 00:00:00,41,16,32,9,306
125,2024-12-06 00:00:00,31,126,44,7,314
126,2023-12-15 00:00:00,4,81,29,7,505
127,2023-12-20 00:00:00,39,74,21,6,761
128,2023-11-23 00:00:00,26,67,49,6,537
129,2023-04-10 00:00:00,16,239,8,5,470
130,2023-06-13 00:00:00,4,149,25,10,438
131,2024-05-25 00:00:00,21,296,47,6,204
132,2024-02-07 00:00:00,33,240,32,15,519
133,2023-02-21 00:00:00,33,235,16,4,607
134,2023-04-21 00:00:00,19,254,39,8,302
135,2023-02-16 00:00:00,28,69,17,6,792
136,2023-10-23 00:00:00,26,27,37,9,209
137,2024-09-30 00:00:00,5,198,33,8,792
138,2023-12-14 00:00:00,44,61,9,2,413
139,2024-02-16 00:00:00,36,188,49,14,213
140,2024-04-30 00:00:00,33,21,3,1,150
141,2023-12-02 00:00:00,34,234,10,10,924
142,2023-11-03 00:00:00,40,164,11,7,641
143,2024-07-30 00:00:00,38,173,33,9,555
144,2024-03-02 00:00:00,20,244,2,6,349
145,2024-11-02 00:00:00,38,158,47,33,621
146,2024-05-06 00:00:00,50,297,37,4,748
147,2023-06-01 00:00:00,11,269,41,10,803
148,2023-07-15 00:00:00,44,125,3,10,980
149,2023-07-28 00:00:00,2,226,21,7,165
150,2023-03-05 00:00:00,27,257,50,10,952
151,2024-11-09 00:00:00,46,71,34,44,584
152,2024-06-29 00:00:00,31,270,25,6,989
153,2023-09-10 00:00:00,22,280,23,5,634
154,2023-11-01 00:00:00,18,286,20,4,974
155,2023-11-21 00:00:00,50,148,46,4,716
156,2024-11-23 00:00:00,31,179,36,55,304
157,2023-05-30 00:00:00,35,195,26,6,987
158,2024-11-02 00:00:00,19,22,19,2,364
159,2024-07-29 00:00:00,17,246,14,4,857
160,2023-09-03 00:00:00,45,140,9,2,640
161,2023-02-23 00:00:00,16,26,43,9,241
162,2023-05-21 00:00:00,7,212,22,8,112
163,2024-05-02 00:00:00,1,282,11,7,678
164,2023-03-02 00:00:00,31,103,49,5,338
165,2023-02-08 00:00:00,50,46,42,10,247
166,2024-05-22 00:00:00,12,214,12,1,866
167,2023-04-20 00:00:00,12,149,3,1,315
168,2023-05-18 00:00:00,22,146,30,9,546
169,2023-06-16 00:00:00,33,240,18,4,838
170,2023-12-12 00:00:00,47,235,42,5,745
171,2024-10-16 00:00:00,19,291,44,4,189
172,2023-04-08 00:00:00,26,219,33,6,98
173,2023-09-25 00:00:00,12,72,31,6,968
174,2024-08-19 00:00:00,25,121,29,5,986
175,2023-08-30 00:00:00,47,294,1,5,679
176,2024-05-29 00:00:00,4,61,30,5,173
177,2023-10-30 00:00:00,46,160,45,2,664
178,2024-09-12 00:00:00,24,114,15,3,499
179,2024-07-04 00:00:00,24,213,45,9,944
180,2023-03-25 00:00:00,43,112,49,4,706
181,2023-04-25 00:00:00,34,229,34,6,89
182,2023-06-18 00:00:00,4,281,33,4,596
183,2024-08-20 00:00:00,21,267,29,2,706
184,2023-05-16 00:00:00,32,47,33,8,838
185,2024-11-19 00:00:00,33,213,30,10,69
186,2023-08-12 00:00:00,20,12,26,5,846
187,2024-07-08 00:00:00,38,38,3,7,362
188,2023-05-19 00:00:00,4,36,31,1,303
189,2024-01-22 00:00:00,50,216,24,15,469
190,2023-12-23 00:00:00,25,42,44,9,146
191,2023-08-17 00:00:00,8,92,35,7,551
192,2024-03-10 00:00:00,1,12,20,8,699
193,2023-10-10 00:00:00,35,195,15,4,481
194,2023-01-17 00:00:00,13,58,3,7,639
195,2024-09-04 00:00:00,16,106,5,2,618
196,2024-07-06 00:00:00,44,25,16,1,421
197,2024-08-12 00:00:00,14,29,9,9,306
198,2023-05-27 00:00:00,21,296,39,6,252
